id,name,hours_of_game,recently_played,genres
1269260,Artifact Foundry,0,no,Strategy 
583950,Artifact Classic,0,no,Strategy 
1180660,Tell Me Why,0,no,Adventure 
1601840,House Builder: First Job,0,no,Casual Simulation 
1196590,Resident Evil Village,54,no,Action 
231430,Company of Heroes 2,0,no,Strategy 
625340,XERA: Survival,0,no,Action Adventure Free to Play Indie Massively Multiplayer Simulation Strategy 
424840,Little Nightmares,0,no,Adventure 
613900,Museum of Other Realities,0,no,Casual Simulation 
297130,Titan Souls,1,no,Action Adventure Indie 
1664350,Ship Graveyard Simulator: Prologue,0,no,Action Adventure Casual Indie Simulation Strategy 
1674470,ELYON,0,no,Action Adventure Free to Play Massively Multiplayer 
1741140,War Wind,0,no,Strategy 
46500,Syberia,0,no,Adventure Casual 
46510,Syberia 2,0,no,Adventure 
204450,Call of Juarez Gunslinger,0,no,Action 
520720,Dear Esther: Landmark Edition,0,no,Adventure Casual Indie 
1577120,The Quarry,0,no,Adventure 
1515950,Capcom Arcade Stadium,0,no,Action Free to Play 
